date,ticker,company,score,rank,catalyst,items,price,stop,target,rr,atr_pct,mom5d,mom20d,above_ma20,earnings_date,excluded,exclude_reason,ret_2d,ret_5d,ret_10d
2026-09-25,ACAD,8-K - ACADIA PHARMACEUTICALS INC,2.14,0,Other Event,"7.01,8.01,9.01",22.18000030517578,20.7,30.96,5.93,4.45,-19.2,-11.98,0,,0,,,,
2026-09-25,AESI,8-K - Atlas Energy Solutions Inc.,1.79,0,Other Event,"7.01,8.01,9.01",10.989999771118164,9.8,16.8,4.9,7.19,-18.11,-29.64,0,,0,,,,
2026-09-25,AIG,"8-K - AMERICAN INTERNATIONAL GROUP, INC.",1.79,0,Other Event,"8.01,9.01",74.81999969482422,72.79,81.91,3.5,1.81,-1.14,-1.66,0,,0,,,,
2026-09-25,AKAM,8-K - AKAMAI TECHNOLOGIES INC,5.12,1,Material Agreement,"1.01,3.02,5.03,7.01,9.01",110.41000366210938,101.61,131.08,2.35,5.31,3.11,-2.13,1,,0,,,,
2026-09-25,AMC,"8-K - AMC ENTERTAINMENT HOLDINGS, INC.",0.0,0,Item 5.07,"5.02,5.07,8.01,9.01",,,,,,,,,,1,routine filer — filed item 8.01 3× in 6 weeks,,,
2026-09-25,ARE,"8-K - ALEXANDRIA REAL ESTATE EQUITIES, INC.",3.4,0,Material Agreement,"1.01,2.03",50.47999954223633,47.62,57.28,2.37,3.78,-10.4,-4.77,0,,0,,,,
2026-09-25,ATCHW,"8-K - AtlasClear Holdings, Inc.",0.0,0,Earnings Results,"2.02,9.01",,,,,,,,,,1,routine filer — filed item 9.01 3× in 6 weeks,,,
2026-09-25,BBGI,8-K - BEASLEY BROADCAST GROUP INC,0.0,0,Item 3.01,3.01,16.040000915527344,14.32,28.12,7.03,7.14,-6.14,-37.29,0,,1,avg dollar vol $0.8M < $5M,,,
2026-09-25,BKHAU,8-K - Black Hawk Acquisition Corp,0.0,0,Material Agreement,"1.01,3.02,9.01",12.25,12.15,12.5,2.54,0.54,2.94,0.82,1,,1,excluded by name pattern (Black Hawk Acquisition Corporation),,,
2026-09-25,BNED,"8-K - Barnes &amp; Noble Education, Inc.",0.0,0,Other Event,"8.01,9.01",11.130000114440918,10.32,13.22,2.57,4.87,4.41,-15.15,0,,1,avg dollar vol $2.9M < $5M,,,
2026-09-25,BNTC,8-K - Benitec Biopharma Inc.,0.0,0,Item 4.01,"4.01,9.01",9.640000343322754,8.52,13.98,3.89,7.71,-15.14,-24.03,0,,1,avg dollar vol $1.5M < $5M,,,
2026-09-25,BRVO,8-K - Bravo Multinational Inc.,0.0,0,Material Agreement,"1.01,3.02,3.03,5.01,5.02,8.01",0.029999999329447746,0.02,0.03,0.79,11.19,25.0,-9.09,1,,1,price $0.03 outside $5.0–$500.0,,,
2026-09-25,CAR,"8-K - AVIS BUDGET GROUP, INC.",3.56,0,Material Agreement,"1.01,2.03,9.01",103.54000091552734,95.17,171.0,8.06,5.39,-10.15,-29.54,0,,0,,,,
